word,mean_impact,std_impact,frequency,max_impact,min_impact,impact_range
opinion,-0.0667264877539077,0.03433610004489247,10,-0.055281121072276874,-0.16973478788858512,0.11445366681630825
thought,-0.06628011927591866,0.0,7,-0.06628011927591866,-0.06628011927591866,0.0
re,0.06562603208939474,0.15625977161419033,41,0.7954799570872974,0.023630468944674157,0.7718494881426232
knowledge,0.06523777287935931,0.03770969530598804,5,0.1406571634913354,0.046382925226365286,0.09427423826497011
only,-0.06493766587908853,0.02818373055351223,28,-0.0526046070263875,-0.16771315631826386,0.11510854929187636
around,0.06479165939574195,0.019356664159026045,8,0.11600457897232208,0.057475528027659074,0.05852905094466301
says,0.06438345840710503,0.020998510738742298,6,0.11133755584519213,0.054992638919487614,0.056344916925704515
some,0.06429772763841911,0.032581698935891086,31,0.1691662117174492,0.05095082966472439,0.1182153820527248
after,-0.06428466601904557,0.0,5,-0.06428466601904557,-0.06428466601904557,0.0
wikipedia,0.06424161515400749,0.06303579675817918,17,0.2829070913141907,0.038347019292933174,0.2445600720212575
pages,0.06373225004946928,0.03953181249221572,13,0.1684258846276529,0.04083051748549161,0.1275953671421613
blocking,-0.06370809063824896,0.02145053556843399,5,-0.05298282285403196,-0.10660916177511694,0.053626338921084975
these,0.06336559050151715,1.3877787807814457e-17,7,0.06336559050151716,0.06336559050151716,0.0
add,-0.06331736933873054,0.030455315940012214,13,-0.051108080997286164,-0.15692191328980412,0.10581383229251795
case,-0.06303186761312445,0.019643245952521055,7,-0.05501254603384652,-0.11114779708879194,0.05613525105494542
set,0.06264159328395691,0.022141405515245037,5,0.08975916613415472,0.04456321138382505,0.04519595475032967
since,0.062119743923436395,0.018158450671283053,9,0.11347959834545904,0.05569976212068356,0.05777983622477548
left,0.06179820579119256,0.019980478461050857,6,0.10647591385307266,0.05286266417881654,0.05361324967425612
ass,0.06130641781925583,0.0,6,0.06130641781925583,0.06130641781925583,0.0
deleted,0.060337701849018495,0.02067112312919238,11,0.10418777586720054,0.05059324095608915,0.053594534911111394
if,0.059750504821488686,0.05275357329538163,57,0.2618704470333544,0.03328241715088722,0.22858802988246715
silly,0.05924695880985294,6.938893903907228e-18,5,0.05924695880985293,0.05924695880985293,0.0
than,0.058789246044913535,0.012968440408741217,20,0.1153173672419458,0.055814081771385526,0.059503285470560274
me,-0.05870695049050704,0.07984797140398668,73,-0.03499050085367182,-0.6728381726653978,0.637847671811726
it,-0.05869167419471848,0.07587775188898861,159,-0.009240703980451563,-0.4145347382107833,0.4052940342303317
changes,0.05857826796485877,0.04425168553162922,6,0.15752804493252562,0.0387883125713254,0.11873973236120022
would,-0.05854835276136387,0.027290403698596352,44,-0.045618062840567956,-0.1490603822069352,0.10344231936636725
reason,0.05811772055590522,0.03639070072642949,12,0.167176397143863,0.04052761142881527,0.12664878571504773
into,0.05800621097704189,0.017329495115446906,8,0.10385574539882296,0.05145627748821602,0.05239946791060694
off,0.057742695121452296,0.017037450984505025,18,0.10593188362255998,0.051719046558813826,0.054212837063746154
view,0.05712398342908078,0.01856585902514479,6,0.09863850626998251,0.04882107886090044,0.04981742740908207
main,-0.056830664261982765,0.0,6,-0.056830664261982765,-0.056830664261982765,0.0
